id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
73,com.newappxone.flowerphotoframes,Flower Photo Frames,App Xone,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.newappxone.flowerphotoframes,https://newappxone.com/privacy_policy.html,1
74,co.lucky.hookup,Casual Hookup Dating - Kasual,Yumi Limited,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=co.lucky.hookup,https://www.kasualapp.com/privacy/,1
75,com.covalent.kippo,Kippo - Come Hang Out,Covalent Inc.,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.covalent.kippo,https://kippo.com/legal/privacy/,1
76,com.photoeditor.app.smileyface.sticker,Smiley Face Photo Editor,Studio GRF,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.photoeditor.app.smileyface.sticker,https://studiogrf-privacyp.blogspot.com/p/blog-page_26.html,1
77,europeandating.europesingles.nearbymeet,EUdate - European dating for n,SeniorsHug,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=europeandating.europesingles.nearbymeet,https://www.seniorshug.com/privacy,1
78,com.mvltrapps.longfrockphotosuit,Long frock photo suit,MVLTR Apps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.longfrockphotosuit,https://www.mvltrapps.com/privacy-policy.php,1
79,com.dating.apps.cupid,Free Dating Hook Up Messenger,Free Hook Up Dating Flirting Apps,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.dating.apps.cupid,https://findnowme.com/privacy,1
80,apptrends.love_test_calculator_lovephotoframes,Love Calculator 2023,AppTrendz Studio,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=apptrends.love_test_calculator_lovephotoframes,http://www.apptrends.co.in/privacy-policy-2/,1
81,com.yovic.girlybanat,صور حالات بأسماء بنات  بدون نت‎,Yovic Dev Studio,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.yovic.girlybanat,https://2022privacyapolicyapp.blogspot.com/,1
82,com.rometic.trulychinese,TrulyChinese - Dating App,ROMETIC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.rometic.trulychinese,https://www.trulychinese.com/privacy-policy,1
83,com.bluefishapp.cutpaste,"Cut Out, Cut Photo Background",Solution Cat Ltd,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.bluefishapp.cutpaste,https://sites.google.com/view/photobackgroundchanger/home,1
84,statusdp.flagtextletter.indianphoto.frame,Indian Flag Text Photo Frame,Text and Editor Art Technologies,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=statusdp.flagtextletter.indianphoto.frame,https://dailyupdatetechpolicy.blogspot.com/2020/05/indian-flag-text-photo-frame.html,1
85,com.Happy.Christmas.Photo.Frames.Merry.Santa.Effect,Happy Christmas Photo Frames,Crazy Softech,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Happy.Christmas.Photo.Frames.Merry.Santa.Effect,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html,1
86,au.com.meetmefreedatingapp.flirtdating,USA Cupid,USA Cupid,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=au.com.meetmefreedatingapp.flirtdating,https://www.aussietechnology.com/footer_privacypolicy.php?appName=usa,1
87,com.mm.insects.identification,Insect identifier by Photo Cam,MobilMinds applications,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mm.insects.identification,https://s3-us-west-2.amazonaws.com/mobilminds.com/mobilmindsapps/privacy_policy_1.html,1
88,com.opusmobilis.adamdateseve,Adam Dates Eve - Dating App,Opus Mobilis,Dating,5K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.opusmobilis.adamdateseve,http://www.opusmobilis.com/adam-dates-eve--privacy-policy.html,1
89,com.name.birthday.cake.wishes,Name On Birthday Cake & Photo,Touchzing Media Private Limited,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.name.birthday.cake.wishes,http://www.touchzing.com/privacy/,1
90,com.inchallah.inchmobile,Inshallah muslims for Marriage,CAJIS,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.inchallah.inchmobile,https://help.inshallah.com/en/support/solutions/articles/60000622908-privacy-policy,1
91,com.editor.covers.postermaker,Gallery - Photos & Videos,Galler'y app,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.editor.covers.postermaker,https://native2022.blogspot.com/2022/04/privacy-policy.html,1
92,com.ZomieeInfotech.FightPhotoEditor,Fight Effect Photo Editor,Zomiee Infotech,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ZomieeInfotech.FightPhotoEditor,https://zomieeinfotechpvtltd.blogspot.com/,1
93,com.eden_android,"Eden: Christian Dating,Matches",Digital Church,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.eden_android,https://eden.dating/en/policy,1
94,canadianmeet.dating.chatsingles.friends,Canada Dating - International,Dating Apps Social,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=canadianmeet.dating.chatsingles.friends,https://canadian-c7ded.web.app/privacy-policy.html,1
95,instadp.circele.profile.picture.border.maker,Profile Picture Border insta,Sharva Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=instadp.circele.profile.picture.border.maker,https://sites.google.com/view/photovideobitapps/privacy-policy,1
96,com.oshiharapps.facemakeupbeauty.prettymakeup.makeupeditor,Makeup 365 - Makeup Editor,Oshihar Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.oshiharapps.facemakeupbeauty.prettymakeup.makeupeditor,https://sites.google.com/view/oshihar-apps/home,1
97,droidconsulting.haircolorchanger,Hair Color Changer,Delka&Toni,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=droidconsulting.haircolorchanger,https://sites.google.com/view/love-christmas-privacy-policy/home,1
98,com.sigmaappsolution.marriagephotoframe,Marriage Photo Frame,Millennium Creativity Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sigmaappsolution.marriagephotoframe,https://millenniumcreativityapps.blogspot.com/2022/06/privacy-policy.html,1
99,com.mendone.eyebrow.editor,Eyebrow Editor,Brandon Wozniak,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mendone.eyebrow.editor,https://sites.google.com/view/brandon-wozniak-privacy-policy/eyebrow-editor,1
100,best.edtphoto.arabman_suitchanger,Arab Man Photo Suit,photo editing apps studio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=best.edtphoto.arabman_suitchanger,https://bestphotoeditingappspolicy.blogspot.com/2017/09/best-photo-editing-apps-privacy-policy.html,1
